,Score,Criteria,Random State
161,0.7779175548333879,mse,80
162,0.7824570448142261,mae,81
163,0.7641798389167269,mse,81
164,0.7822002384285625,mae,82
165,0.7847790574500032,mse,82
166,0.7774705042206906,mae,83
167,0.7761045101004502,mse,83
168,0.7701820155947111,mae,84
169,0.7804244220325286,mse,84
170,0.7735848274263588,mae,85
171,0.7785104975828131,mse,85
172,0.7967867277667975,mae,86
173,0.7889639485472277,mse,86
174,0.7871133824513503,mae,87
175,0.7754820325858796,mse,87
176,0.7837647422030292,mae,88
177,0.7892842119653576,mse,88
178,0.7927908920607271,mae,89
179,0.785415789278856,mse,89
180,0.7899448226878706,mae,90
181,0.7858019593836496,mse,90
182,0.7921719419461817,mae,91
183,0.7866097463247173,mse,91
184,0.7796246133541929,mae,92
185,0.776425386245414,mse,92
186,0.7850448733991738,mae,93
187,0.7860397032352661,mse,93
188,0.781767090192949,mae,94
189,0.7750584268871785,mse,94
190,0.7788150375079462,mae,95
191,0.7837843252462875,mse,95
192,0.7761082483381293,mae,96
193,0.7840101331313457,mse,96
194,0.775697467259972,mae,97
195,0.7704690730559143,mse,97
196,0.797558208544605,mae,98
197,0.7875148117787045,mse,98
198,0.7819507770304727,mae,99
199,0.7755621593108937,mse,99
200,0.7612571214445734,mae,100
201,0.7864504226280137,mse,100
202,0.7729045439940087,mae,101
203,0.785374894136651,mse,101
204,0.7896280384386178,mae,102
205,0.7802530558791425,mse,102
206,0.7770373891299959,mae,103
207,0.77946331742509,mse,103
208,0.7766040189993044,mae,104
209,0.7788047513658174,mse,104
210,0.7812460436017465,mae,105
211,0.7857149740860199,mse,105
212,0.7838798034819556,mae,106
213,0.791891183738901,mse,106
214,0.7831090944862918,mae,107
215,0.7842294407226956,mse,107
216,0.7654697418689689,mae,108
217,0.7741663935296371,mse,108
218,0.7983633876212435,mae,109
219,0.7776337680736036,mse,109
220,0.8013811985758235,mae,110
221,0.7876630896750615,mse,110
222,0.7750108577265947,mae,111
223,0.7829174323093244,mse,111
224,0.7926242216491053,mae,112
225,0.7772433844638704,mse,112
226,0.7815726237770516,mae,113
227,0.7856772470986092,mse,113
228,0.7827818819012888,mae,114
229,0.7746714112938943,mse,114
230,0.7928590761279362,mae,115
231,0.7928631400070861,mse,115
232,0.7907238364757097,mae,116
233,0.787485247573147,mse,116
234,0.7847013136384302,mae,117
235,0.7799174783687275,mse,117
236,0.7815728577284817,mae,118
237,0.7870580088532363,mse,118
238,0.7759112953973202,mae,119
239,0.7863872163646783,mse,119
240,0.7726663986128981,mae,120
241,0.7837551374198347,mse,120
242,0.780145790368306,mae,121
243,0.7819587878727157,mse,121
244,0.7796555179253695,mae,122
245,0.7878209772247986,mse,122
246,0.7906594691325877,mae,123
247,0.7887269203060562,mse,123
248,0.7779117724315199,mae,124
249,0.7772296515143101,mse,124
250,0.7823398591558873,mae,125
251,0.7870265409732775,mse,125
252,0.7676051582661072,mae,126
253,0.766657174214586,mse,126
254,0.7951491742699541,mae,127
255,0.7799724678749582,mse,127
256,0.777942418340823,mae,128
257,0.7846464917060498,mse,128
258,0.789399298991631,mae,129
259,0.7888913126540822,mse,129
260,0.7893332093860089,mae,130
261,0.7898719755341349,mse,130
262,0.7758867411158601,mae,131
263,0.7773229081355295,mse,131
264,0.788279565953462,mae,132
265,0.7742643493661643,mse,132
266,0.7853921496682721,mae,133
267,0.7865591375141616,mse,133
268,0.7878302301522682,mae,134
269,0.774557305951095,mse,134
270,0.7908650507081092,mae,135
271,0.7835622391848693,mse,135
272,0.7830369689497877,mae,136
273,0.7988002849955792,mse,136
274,0.7911050366487735,mae,137
275,0.7870720681293428,mse,137
276,0.7847980920018853,mae,138
277,0.7731572498176097,mse,138
278,0.7944967634911277,mae,139
279,0.7789059319241509,mse,139
280,0.7941083003153441,mae,140
281,0.7823644472652849,mse,140
282,0.7931331160108859,mae,141
283,0.7841261416132164,mse,141
284,0.7849650776885335,mae,142
285,0.7814228540457845,mse,142
286,0.7685933675455997,mae,143
287,0.7833710626598974,mse,143
288,0.7930371485165455,mae,144
289,0.7924347017144036,mse,144
290,0.7788158330777131,mae,145
291,0.7827419633064713,mse,145
292,0.8008353728308237,mae,146
293,0.7829523138597594,mse,146
294,0.7839010190404612,mae,147
295,0.7931584780385129,mse,147
296,0.7767122048492991,mae,148
297,0.785413722939784,mse,148
298,0.7889428622267862,mae,149
299,0.7744922704582862,mse,149
300,0.7793648051918669,mae,150
301,0.7726559702800446,mse,150
302,0.794977870610859,mae,151
303,0.7939964184862501,mse,151
304,0.7918462544817062,mae,152
305,0.7907244931155963,mse,152
306,0.7886373544930892,mae,153
307,0.7850507043869055,mse,153
308,0.7884543805653372,mae,154
309,0.7826932024729344,mse,154
310,0.7771143793848019,mae,155
311,0.7896394741258779,mse,155
312,0.7893164184707002,mae,156
313,0.7852448961365286,mse,156
