id,detected mass ,MzCORR,RT (min),Identified,Chebi
M157T308,157.0510352,158.0583152,5.130683333,FALSE,
M157T313,157.0792128,158.0864928,5.22,FALSE,
M157T506,157.0968558,156.0895758,8.432408333,FALSE,
M157T353,157.1332834,156.1260034,5.887466667,FALSE,
M159T190,159.1030554,160.1103354,3.16615,FALSE,
M159T1373,159.1125431,158.1052631,22.88033333,FALSE,
M160T287,160.0619457,161.0692257,4.781541667,FALSE,
M161T616,161.0459636,162.0532436,10.274075,FALSE,
M162T425_2,162.0758167,161.0685367,7.0892,FALSE,
M163T447,163.0616311,164.0689111,7.444866667,FALSE,
M164T407,164.056403,163.049123,6.7799,FALSE,
M164T665,164.0721614,165.0794414,11.07925,FALSE,
M164T389,164.0737341,163.0664541,6.475066667,FALSE,
M164T176,164.0737443,163.0664643,2.937141667,FALSE,
M165T548,165.0271307,166.0344107,9.140716667,FALSE,
M165T567,165.0542299,164.0469499,9.452033333,FALSE,
M165T943,165.1019815,164.0947015,15.708975,FALSE,
M166T647,166.085984,165.078704,10.78135,FALSE,
M166T192,166.1336551,165.1263751,3.203675,FALSE,
M167T846,166.9989805,168.0062605,14.103775,FALSE,
M167T308,167.1176219,166.1103419,5.133591667,FALSE,
M169T1346,169.0968598,168.0895798,22.44116667,FALSE,
M169T522,169.096863,168.089583,8.692066667,FALSE,
M170T303,170.0462334,171.0535134,5.042441667,FALSE,
M171T856,170.9595942,171.9668742,14.27055833,FALSE,
M172T268,172.0619662,173.0692462,4.463433333,FALSE,
M173T1002,173.0095363,174.0168163,16.69895833,FALSE,
M173T1030,173.0095847,174.0168647,17.16491667,FALSE,
M173T633,173.0459737,174.0532537,10.54961667,FALSE,
M173T568,173.0916758,172.0843958,9.468316667,FALSE,
M173T323,173.0917364,172.0844564,5.389075,FALSE,
M173T617,173.0935979,174.1008779,10.28643333,FALSE,
M175T638,175.0188072,176.0260872,10.62870833,FALSE,
M175T954,175.0252706,176.0325506,15.89425,FALSE,
M175T840,175.0364603,176.0437403,13.99778333,FALSE,
M175T470,175.0615562,176.0688362,7.833533333,FALSE,
M175T206,175.0979927,176.1052727,3.426858333,FALSE,
M176T638,176.0266129,177.0338929,10.62921667,FALSE,
M177T633,177.0231409,178.0304209,10.55268333,FALSE,
M179T901,178.9837109,179.9909909,15.01336667,FALSE,
M181T719,181.0510683,182.0583483,11.98171667,FALSE,
M185T900,184.986089,185.993369,15,FALSE,
M185T298,185.1281079,184.1208279,4.971216667,FALSE,
M186T417,186.123305,185.116025,6.953691667,FALSE,
M187T753,187.0251639,188.0324439,12.541975,FALSE,
M187T701,187.025207,188.032487,11.688475,FALSE,
M187T491,187.0709106,186.0636306,8.178466667,FALSE,
M187T383,187.07288,188.08016,6.385891667,FALSE,
M187T564,187.1072515,186.0999715,9.401375,FALSE,
M187T401,187.1073334,186.1000534,6.676666667,FALSE,
M187T293,187.107346,186.1007,4.9,FALSE,
M188T543,188.0538839,187.0466039,9.044958333,FALSE,
M189T336,189.0407873,190.0480673,5.603233333,FALSE,
M189T408,189.0772988,190.0845788,6.796766667,FALSE,
M189T591,189.0865755,188.0792955,9.844216667,FALSE,
M189T565,189.1228932,188.1156132,9.4221,FALSE,
M189T709,189.1229647,188.1156847,11.82136667,FALSE,
M190T511,190.0705586,189.0632786,8.522508333,FALSE,
M191T246,191.0480446,190.0407646,4.105375,FALSE,
M191T909,191.1021916,190.0949116,15.15074167,FALSE,
M193T276,193.09664,192.08936,4.608016667,FALSE,
M198T507,198.0755539,197.0682739,8.452066667,FALSE,
M198T420,198.0866223,197.0793423,7.004391667,FALSE,
M198T341,198.123114,197.115834,5.681058333,FALSE,
M199T1284,199.1070007,198.0997207,21.39491667,FALSE,
M199T305,199.1070755,198.0997955,5.081875,FALSE,
M200T792,200.0312092,199.0239292,13.19574167,FALSE,
M201T1412,201.1227116,200.1154316,23.54108333,FALSE,
M201T1299,201.1227236,200.1154436,21.65341667,FALSE,
M202T1414,202.1260005,201.1187205,23.56608333,FALSE,
M203T1013,203.0200506,204.0273306,16.87616667,FALSE,
M203T829,203.0200924,204.0273724,13.8229,FALSE,
M203T190,203.0479075,202.0406275,3.17385,FALSE,
M203T725,203.1384416,202.1311616,12.08363333,FALSE,
M204T325,204.0430601,203.0357801,5.422683333,FALSE,
M204T513,204.0859866,203.0787066,8.556866667,FALSE,
M204T766,204.0860925,203.0788125,12.76584167,FALSE,
M205T983,205.0358757,206.0431557,16.37858333,FALSE,
M205T196,205.063523,204.056243,3.274016667,FALSE,
M208T354,208.0835922,207.0763122,5.905725,FALSE,
M211T624,211.1069822,210.0997022,10.4004,FALSE,
M211T199,211.107019,210.099739,3.3154,FALSE,
M211T869,211.1070416,210.0997616,14.48145,FALSE,
M213T510,213.0173584,214.0246384,8.501983333,FALSE,
