,Score,Random State,Number of Features
160,0.5314821878937501,12,6
161,0.6727358938339854,12,7
162,0.5940358889038455,12,8
163,0.6425522369412326,12,9
164,0.654871114648773,12,10
165,0.6463123229695691,12,15
166,0.6775996564639608,12,20
167,0.6270788235710527,12,50
168,0.6188460472957428,12,100
169,0.2620742831612659,13,2
170,0.37810429127505263,13,3
171,0.5164166404586159,13,4
172,0.7269352481849796,13,5
173,0.7657353019721329,13,6
174,0.7717126333906841,13,7
175,0.739871797982298,13,8
176,0.7599702953693172,13,9
177,0.7549486290665683,13,10
178,0.7319717493375812,13,15
179,0.719146337481265,13,20
180,0.6054498567885181,13,50
181,0.6429494112016899,13,100
182,0.1226296909855481,14,2
183,0.6656422348001552,14,3
184,0.7016026884947346,14,4
185,0.6878012703537308,14,5
186,0.7043484285068515,14,6
187,0.7147961157929292,14,7
188,0.6806162572920859,14,8
189,0.677424154391586,14,9
190,0.7073324714515055,14,10
191,0.6812257996565989,14,15
192,0.6731791231083417,14,20
193,0.6532445273209257,14,50
194,0.6520949583467102,14,100
195,0.28547048506968487,15,2
196,0.699508832655142,15,3
197,0.6844569678444639,15,4
198,0.713667147751458,15,5
199,0.6918325383830105,15,6
200,0.6746036112277758,15,7
201,0.6525235242090148,15,8
202,0.7079987037427058,15,9
203,0.7100568202207114,15,10
204,0.6522160122945047,15,15
205,0.6644972834076328,15,20
206,0.6450540778234656,15,50
207,0.6547942788623742,15,100
208,0.3677943498979702,16,2
209,0.5815435736443221,16,3
210,0.65707484472396,16,4
211,0.6650325778634277,16,5
212,0.6681599371482521,16,6
213,0.6306143604984769,16,7
214,0.6612995955416558,16,8
215,0.7032148930530648,16,9
216,0.701420756994541,16,10
217,0.6783779071262939,16,15
218,0.6636677800296155,16,20
219,0.6150327026154876,16,50
220,0.6077202535402761,16,100
221,0.5994900374262251,17,2
222,0.660837042540593,17,3
223,0.7058295827975073,17,4
224,0.708612565276241,17,5
225,0.695594632401015,17,6
226,0.678662922103195,17,7
227,0.6430683756707694,17,8
228,0.694758781268249,17,9
229,0.6892095268330048,17,10
230,0.6814186028586715,17,15
231,0.6731399944928821,17,20
232,0.6452569860290409,17,50
233,0.661250507525047,17,100
234,0.4623569280419392,18,2
235,0.5106429423718883,18,3
236,0.4477400705099429,18,4
237,0.5456197536574696,18,5
238,0.556571346557903,18,6
239,0.5977645629668565,18,7
240,0.6217342585304608,18,8
241,0.6229796772941562,18,9
242,0.6079067967256311,18,10
243,0.6476218822854477,18,15
244,0.5737934117720049,18,20
